submission_id,decision_description_en,decision_description_fr,decision_sectors,automation_type_score,system_role_en,system_role_fr,requires_judgement_score,evaluation_criteria_en,evaluation_criteria_fr,system_output_en,system_output_fr,superhuman_task_score,used_by_different_org_score,impacts_reversible_score,impact_duration_score
47,,,item1-1,,,,4,item1-1,,item2-2,,0,,1,
48,,,"item1-1,item3-1",,,,4,item1-1,,item4-4,,0,,1,
53,Immigration services,services d'immigration,item6-1,,"The system will be automating approvals of the sponsorship part of the application for Permanent Residence in the PSR program for certain routine applications.  Refusals will not be automated.  Even for applications where the approval of the sponsorship part of the application is automated by the model, officers continue to make the final decision on each application.","Le système automatisera les approbations de la partie concernant le parrainage pour ce qui est de la résidence permanente dans le cadre du Programme de parrainage privé de réfugiés (PPPR) pour certaines demandes courantes. Les refus ne seront pas automatisés.Même dans les cas où la partie concernant le parrainage est approuvée par le système, les agents continuent de prendre la décision définitive pour chaque demande.",4,item1-1,,item4-4,,4,,1,
54,,,"item4-1,item1-1",,,,4,item1-1,,item1-1,,0,,1,
59,"Employers who use the TFW Program can be randomly selected for an inspection; selected based on tips or allegations of non-compliance; or based on past non-compliance with program requirements. If an employer fails to meet program requirements and/or conditions, consequences can include administrative monetary penalties and a temporary or permanent ban from the Program. The process will select employers who use the TFWP for inspection by Service Canada. The number of selections by region and stream (of the TFWP) will be determined by the TFWP Branch. Cases will be referred to the case management system, where human staff will take full control of managing, distributing, and carrying out cases according to relevant procedures, regulations, and guidance.",,item6-1,0,,,0,item1-1,,item1-1,,0,2,1,
60,"Les employeurs qui utilisent le programme du TET peuvent être choisis au hasard pour une inspection ; sélectionnés sur la base de renseignements ou d’allégations de non-conformité ; ou sur la base d'antécédents de non-conformité aux exigences du programme. Si un employeur ne respecte pas les exigences et/ou les conditions du programme, les conséquences peuvent comprendre des sanctions administratives pécuniaires et une interdiction temporaire ou permanente de participer au programme. Le processus permettra de sélectionner des employeurs qui utilisent le PTET aux fins d’inspection par Service Canada. Le nombre de sélections par région et par volet (du PTET) sera déterminé par la Direction générale du PTET. Les cas seront renvoyés  au système de gestion des cas, où le personnel humain prendra le contrôle total de la gestion, de la distribution et de l’exécution des cas conformément aux procédures, réglementations et directives en vigueur.",,item6-1,0,,,0,item1-1,,item1-1,,0,2,1,
64,"services d’immigration Le système automatisera l’évaluation de la recevabilité d’un sous-ensemble de demandes soumises pour le programme Vacances-Travail d’EIC. Le modèle de permis de travail d’EIC permet de trier les demandes en regroupant les dossiers qui présentent des caractéristiques similaires en fonction des exigences réglementaires, contractuelles ou prévues par la loi de chaque sous-programme et de chaque pays participant. Le modèle est conçu pour appliquer des critères de tri prédéfinis afin de trier et d’identifier les cas de routine « légers » pour lesquels la partie relative à la recevabilité peut être soumise à une évaluation positive. Dans le cas des demandes dont l’évaluation positive de la recevabilité est automatisée par le modèle, ce dernier détermine uniquement qu’une demande est recevable : ces demandes continueront d’être évaluées manuellement en vue de déterminer leur admissibilité. Le système ne peut ni refuser ni recommander des refus.","Immigration Services The system will automate the assessment of the eligibility of a subset of applications submitted for the IEC Working Holiday Program. The IEC WP model triages IEC WP applications by grouping files with similar characteristics based on the legislative, regulatory and contractual requirements for each subprogram and participating country. The model is designed to apply pre-defined triage criteria to triage and identify “light-touch” routine cases where the eligibility portion can receive an automated positive eligibility assessment. For applications where the positive eligibility assessment is automated by the model, the model determines only that an applicant is eligible: these applications will continue to be manually assessed for admissibility. The system cannot refuse nor recommend refusals.",item6-1,0,,,4,item1-1,,item2-2,,0,2,1,
68,Immigration services,Services d'immigration,item6-1,,"Yes. The system will automate positive eligibility determinations, positive inadmissibility determinations, and approvals on some temporary resident visa and work permit applications submitted under the Canada-Ukraine Authorization for Emergency Travel initiative per the Immigration and Refugee Protection Act and accompanying Regulations.","Oui. Le système automatisera les décisions de recevabilité favorables, les décisions d'interdiction de territoire favorables et les approbations concernant certaines demandes de visa de résident temporaire et de permis de travail présentées dans le cadre de l'Autorisation de voyage d'urgence Canada-Ukraine en vertu de la Loi sur l'immigration et la protection des réfugiés et du règlement connexe.",4,item1-1,,item3-3,,4,,1,
75,Aviation security - air cargo security The decision that is automated is whether to allow shipments to proceed without interference based on a combination of risk indicators. The PACT advanced algorithm will generate an inbound cargo risk score for each shipment based on specific parameters. Based on this score shipments that have pre-defined low-risk characteristics will be automatically assessed; whereas those that fall outside those parameters will be reviewed by a human case-by-case.,"Sûreté aérienne — sûreté du fret aérien La décision automatisée est celle qui autorise ou non l’expédition d’un envoi sans intervention, sur la base d’une combinaison d’indicateurs de risque. L’algorithme avancé de CFAPC génère une cote de risque pour chaque envoi de fret entrant, sur la base de paramètres précis. Sur la base de cette cote, les envois présentant des caractéristiques prédéfinies de faible risque seront automatiquement évalués, tandis que ceux qui se situent en dehors de ces paramètres seront examinés par un humain au cas par cas.",item6-1,2,,,0,item2-2,,item1-1,,4,2,1,
83,Openness and transparency,Ouverture et transparence,item6-1,,,,4,item1-1,,item1-1,,0,,1,
86,"The following outlines the process flow of RAP-EVM:
1.	Application: The borrower submits their RAP application to the SP, indicating their previous month or current month’s income, married/common-law status and number of dependants. 
a.	On the RAP application, the borrower is informed through their consent that their data can be exchanged with the CRA.

b.	If the borrower has indicated that they are in a married or common-law relationship, then consent, name, date of birth, SIN, and income of their partner will be provided to the SP. A signed consent of the borrower and their spouse must be received prior to any data exchange between the SP and CRA. Spousal signature is a prerequisite for the adjudication of the RAP application.

c.	If the application is complete, SP calculates whether a borrower is eligible for RAP. 

2.	Selection: Those borrowers that have been identified as high risk for misrepresentation based on the risk-based sampling methods may be selected for verification using the RAP-EVM. Borrowers that are not selected for verification are assessed through the regular RAP process, including calculation (#9). RAP calculation precedes selection.

3.	Request for Information: The SP securely sends an electronic request for information to the CRA, including the name, SIN, and date of birth of the borrower and the borrower’s married/common-law partner (if applicable), to confirm previous year’s income (Line 15000 of the borrower’s tax return), marital status, and the number of dependants in the family.

4.	Response to Request: The CRA provides the aforementioned borrower's tax data to the SP.

a.	The response would occur via a secure electronic file transmission.

b.	The response would include the names, date of birth, and SIN of borrowers (and their married/common-law partner, if applicable) as well as their Line 15000 income, number of dependants and marital status. The CRA will also confirm the tax year of the data (the most recent data from the last two years requested only). If the response returns with no data, adjudication process moves to #7.

5.	Data Comparison: The SP compares Line 15000 of the borrower’s income data , as provided by the CRA to the borrower’s reported income on their RAP application. 

a.	Disparities beyond a “threshold of tolerance” in income between a borrower’s CRA tax data and the income declared on the RAP application would justify a request for additional proof from the borrower. The same would apply for inconsistencies with declarations of ‘married’ or ‘single’ and instances where borrowers report a higher number of dependants on their RAP application. The “threshold of tolerance” is determined by the CSFA Program.

b.	The SP annualizes RAP application income data before comparison with CRA borrower (and spouse/common-law partner) income data.

c.	If a family size discrepancy is identified, but the verified family income is less than the family income threshold, additional proof would not be requested since it would not make a difference for adjudication.

6.	Assessment Part One: If the borrower’s declared CRA income, family size and married/common-law status are consistent with the information reported on the RAP application, or if business rules deem no further validation required, the borrower will be assessed for RAP under the existing process.

7.	Assessment Part Two: If there is a variance between their RAP application data and their CRA tax data, or if the CRA is unable to provide the borrower's tax data, the borrower is asked to provide additional substantiating documentation.
8.	Assessment Part Three: Based on the borrower’s declared income and any supporting documentation, the SP proceeds to finalize the assessment of the borrower’s RAP application.

9.	Final Calculation and Decision: The SP runs a final calculation of eligibility, based on verified family income and size, unchanged or revised based on the requested borrower documentation. If the borrower provides additional proof documentation that differs from their RAP application data, their RAP benefit is re-calculated based on the new information.

10.	End of Process: The borrower is informed of the status of their application.",,item2-1,0,,,0,item1-1,,item1-1,,0,2,1,
87,"Le processus du PAR-MVA est décrit comme suit :
1.	Demande : L'emprunteur soumet sa demande de PAR au FS, en indiquant son revenu du mois précédent ou du mois en cours, son état civil (marié/conjoint de fait) et son nombre de personnes à charge. 
a.	Dans la demande du PAR, l'emprunteur est informé, par le biais de son consentement, que ses données peuvent être échangées avec l'ARC.

b.	Si l'emprunteur a indiqué qu'il est marié ou en union de fait, le consentement, le nom, la date de naissance, le NAS et le revenu de son époux ou conjoint de fait seront transmis au FS. Un consentement signé de l'emprunteur et de son conjoint doit être reçu avant tout échange de données entre le FS et l'ARC. La signature du conjoint est une condition préalable à l’évaluation de la demande de PAR.

c.	Si la demande est complète, le FS calcule si l’emprunteur est admissible au PAR. 

2.	Sélection : Les emprunteurs qui ont été identifiés comme présentant un risque élevé de fausse déclaration selon les méthodes d'échantillonnage fondées sur le risque, peuvent être sélectionnés aux fins de vérification à l'aide du PAR-MVA.  Les emprunteurs qui ne sont pas sélectionnés pour la vérification sont évalués selon le processus régulier du PAR, y compris le calcul de leur admissibilité (étape #9). Le calcul du PAR précède la sélection.

3.	Demande de renseignements : Le FS envoie de manière sécurisée une demande électronique de renseignements à l'ARC, incluant le nom, le NAS et la date de naissance de l'emprunteur et, le cas échéant, de son époux ou conjoint de fait, afin de confirmer le revenu de l'année précédente (ligne 15000 de la déclaration de revenus de l'emprunteur), l'état civil et le nombre de personnes à charge dans la famille.

4.	Réponse à la demande : L'ARC fournit les données fiscales de l'emprunteur susmentionnées au FS.

a.	L'intervention se fait par l'intermédiaire d'une transmission électronique sécurisée.

b.	La réponse inclut les nom, dates de naissance et NAS des emprunteurs (et de leur époux ou conjoint de fait, s'il y a lieu) ainsi que leur revenu à la ligne 15000, le nombre de personnes à charge et leur état civil. L'ARC confirme également l'année d'imposition des données (seules les données des deux années les plus récentes sont demandées). Si aucune donnée n’est retournée, le processus d’évaluation passe à l’étape #7.

5.	Comparaison des données : Le FS compare la ligne 15000 des données sur le revenu de l'emprunteur, telles que fournies par l'ARC, au revenu déclaré de l'emprunteur dans sa demande de PAR. 

a.	Des disparités au-delà d'un « seuil de tolérance » dans le revenu entre les données fiscales de l'ARC d'un emprunteur et le revenu déclaré dans la demande du PAR justifieraient une demande de preuve supplémentaire de la part de l'emprunteur. Il en irait de même pour les incohérences concernant les déclarations de statut « marié » ou « célibataire », ainsi que pour les cas où les emprunteurs déclarent un nombre plus élevé de personnes à charge dans leur demande de PAR. Le « seuil de tolérance » est déterminé par le PCAFE.

b.	Le FS annualise les données sur le revenu des demandes du PAR avant de les comparer aux données fiscales de l'emprunteur (et de l'époux ou conjoint de fait) fournies par l'ARC.

c.	Si une incohérence concernant la taille de la famille est relevée, mais que le revenu familial vérifié est inférieur au seuil de revenu familial applicable, aucune preuve supplémentaire ne sera demandée, car elle n’aurait pas d’incidence sur l’évaluation de la demande. 

6.	Première partie de l'évaluation : Si le revenu déclaré de l’emprunteur auprès de l’ARC, la taille de sa famille et son état civil (marié/conjoint de fait) sont cohérents avec les informations indiquées dans la demande de PAR, ou si les règles opérationnelles déterminent qu’aucune validation supplémentaire n’est requise, l'emprunteur sera évalué pour le PAR selon le processus existant.

7.	Deuxième partie de l’évaluation : S'il y a un écart entre les données de sa demande de PAR et ses données fiscales de l'ARC, ou si l'ARC n'est pas en mesure de fournir les données fiscales de l'emprunteur, ce dernier sera invité à fournir des documents justificatifs supplémentaires. 

8.	Troisième partie de l'évaluation : En fonction du revenu déclaré de l'emprunteur et de tous les documents à l'appui, le FS procède à la finalisation de l'évaluation de la demande de PAR de l'emprunteur.

9.	Calcul final et décision : Le FS effectue un calcul final de l'admissibilité, en fonction du revenu et de la taille de la famille vérifiés, qu’ils soient inchangés ou révisés à la suite de la réception de documents supplémentaires fournis par l’emprunteur. Si l’emprunteur fournit des preuves additionnelles qui diffèrent des informations initialement déclarées dans sa demande de PAR, l’avantage du PAR sera recalculé en fonction des nouvelles données.

10.	Fin du processus : L'emprunteur est informé du statut de sa demande.",,item2-1,0,,,0,item1-1,,item1-1,,0,2,1,
89,Immigration services,,item6-1,,"The system will automate the approval of the eligibility of some Sponsors and Principal Applicants for in-Canada Spousal and Common-law Permanent Resident applications. For applications where the positive eligibility determination is automated by the model, the model determines only that an applicant is eligible, before the application is sent to an officer to screen for admissibility. Even in cases where the model approves the eligibility, officers continue to make the final decision on each application.",,4,item1-1,,item4-4,,4,,1,
91,les services d’immigration,,item6-1,,"Le système automatisera l'approbation de l'admissibilité de certains répondants et demandeurs principaux pour les demandes de résidence permanente d'époux ou de conjoint de fait au Canada. Dans le cas des demandes pour lesquelles la détermination positive de l'admissibilité est automatisée par le modèle, le modèle détermine seulement que le demandeur est admissible, avant que la demande ne soit envoyée à un agent pour vérifier s’il y a interdiction de territoire. Même dans les cas où le modèle approuve l'admissibilité, les agents continuent de prendre la décision finale pour chaque demande.",,4,item1-1,,item4-4,,4,,1,
95,"The model will only take action on comments related to simple decisions, which are based on current procedures used by agents. These decisions involve determining if the comment contains information relevant to the Reason for Separation (RFS), and adjusting the RFS if necessary. When the AI interpretation is used in a decision, it will replace a decision currently made by a human that requires minimal judgement and/or discretion. However, a portion of the decisions (ones which cannot be assessed by AI, or more complex decisions) will continue to be made by humans.","Le modèle n'agira que sur les commentaires liés aux décisions simples, qui sont basées sur les procédures actuelles utilisées par les agents. Ces décisions consistent à déterminer si le commentaire contient des informations pertinentes pour le Motif de cessation d'emploi (MCE) et à ajuster le MCE si nécessaire. Quand l'interprétation de l'IA est utilisée dans une décision, elle remplacera une décision actuellement prise par un humain et qui nécessite une discrétion ou un jugement minimal. Toutefois, une partie des décisions (celles qui ne peuvent pas être évaluées par l'IA, ou les décisions plus complexes) continuera d'être prise par des humains.",item3-1,0,,,4,item1-1,,item1-1,,4,2,1,
97,"The CRES/ReportIn voluntary app is an ATD system that may allow individuals, subject to reporting conditions under the IRPA or IRPR, to report remotely rather than to be detained in a facility or as an option to be released from detention. The decision that will be automated is the facial comparison portion of the process.**

ReportIn uses Amazon Rekognition, a facial recognition software, to perform a comparison of an individual’s report photo against an individual’s reference photo (known individual) stored in CRES. This comparison generates a similarity score, between the enrollment/reference photo and an individual’s report photo, indicating a percentage similarity score of likelihood that the individual who is reporting is the individual on reporting conditions as indicated by their enrollment/reference photo. The default similarity score for a photo match is 99%.  If a score of under 99% is returned from the software, the result is failed biometrics. If a score of over 99% is returned from the software, the result is passed biometrics. There are several reasons that a result may return at less than 99% and failed biometrics, such as but not limited to, the angle of the face is less than or more than expected, the photo is blurry, the photo is that of another person, etc.

The software analyzes the facial attributes of the face, and then returns a percent similarity score for the face and the facial attributes that are detected in the image e.g. beard, eyeglasses, eyes open, landmarks of the face (e.g. position of nose, mouth).

It is important to note that the software does not compare images against a database of publicly collected images.

All submissions will undergo 100% human oversight by a CBSA employee. This approach ensures that human judgment and discretion are applied to the results, promoting accountability and accuracy in the system's operation.

After the software similarity score is returned and displayed in CRES, each case and/or report is assigned to an ATD MCO to review. The ATD MCO makes the decision on whether or not the report photo is a ‘match’ or ‘no match’. The ‘match’ or ‘no match’ decision is based on the ATD MCO’s determination of the photo match and, when a specified location to report from has been imposed, the individual’s location when they reported. There are three levels of review. All cases and reports will be assigned to an ATD MCO for review. If an individual fails a facial comparison match or location match and the ATD MCO is not able to make a final decision that there is a match, the ATD MCO will contact the individual within a day or two for a follow up investigation. If the ATD MCO still has questions they will refer it to the ATD MCS, if the ATD MCS has additional questions they will refer it to the Regional Inland Enforcement office for investigation by an Inland Enforcement Officer (IEO). If the follow up investigation results in the IEO deciding that the individual has not complied with their conditions, the individual could be detained as per the IRPA and the IRPR.",,item6-1,0,,,4,item1-1,,item2-2,,4,2,1,
