submission_id,rights_freedoms_score,rights_freedoms_en,rights_freedoms_fr,equality_dignity_score,equality_dignity_en,equality_dignity_fr,health_wellbeing_score,health_wellbeing_en,health_wellbeing_fr,economic_interests_score,economic_interests_en,economic_interests_fr
47,3,Mental health benefits impact client wellness by providing early access to coverage for required treatments.,Les avantages pour la santé mentale ont une incidence sur le bien-être des clients en leur fournissant un accès rapide à une couverture pour les traitements requis.,1,Mental health benefits cover costs for professional services related to a client's mental health but provides no additional financial benefit to the client.,"Les avantages pour la santé mentale couvrent les frais des services professionnels liés à la santé mentale du client, mais ne fournissent pas d’avantages financiers supplémentaires au client.",1,This is eligibility for individuals and does not relate to the environment.,Il s’agit de l’admissibilité des personnes et ne concerne pas l’environnement.,,,
48,3,Disability benefits impact overall wellness and possibly financial well-being.,,3,Disability awards will impact financial well-being.,,1,This is eligibility for individuals and does not relate to the environment.,,,,
53,1,"The system is expected to have little to no impact on the health and well-being of individuals as it will only automate certain positive sponsorship determinations , and triage the non-automated sponsorship and refugee  parts of the application for decision by an officer.","On s’attend à ce que le système ait peu ou pas d’incidence négative sur la santé et le bien-être des personnes, car il sera utilisé uniquement dans le but d’automatiser certaines décisions favorables concernant le parrainage et de trier les parties non automatisées de la demande concernant le parrainage et la demande d’asile pour qu’elles soient transmises aux agents à des fins de décision.",1,"The system is expected to have little to no impact on the economic interest of individuals as it will only automate certain positive sponsorship determinations , and triage the non-automated sponsorship and refugee  parts of the application for decision by an officer.","On s’attend à ce que le système ait peu ou pas d’incidence négative sur les intérêts économiques des personnes, car il sera utilisé uniquement dans le but d’automatiser certaines décisions favorables concernant le parrainage et de trier les parties non automatisées de la demande concernant le parrainage et la demande d’asile pour qu’elles soient transmises aux agents à des fins de décision.",1,"The system is expected to have little to no impact on the ongoing sustainability of an environmental ecosystem as it will only automate certain positive sponsorship determinations , and triage the non-automated sponsorship and refugee  parts of the application for decision by an officer.","On s’attend à ce que le système ait peu ou pas d’incidence négative sur la pérennité d’un écosystème, car il sera utilisé uniquement dans le but d’automatiser certaines décisions favorables concernant le parrainage et de trier les parties non automatisées de la demande concernant le parrainage et la demande d’asile pour qu’elles soient transmises aux agents à des fins de décision.",,,
54,1,"The use of ArriveCAN is not anticipated to adversely impact travellers' health or the public health of Canadians. The use of ArriveCAN is intended to bolster the government's capacity to adapt to anticipated increases in the volume of travellers to Canada in a way that safeguards public health. The use of the platform will ensure that operational burdens do not limit the government's ability to scrutinize the vaccination status of all incoming travellers. The automation ensures that checks are performed for every proof of vaccination document, helping minimize potential risks of fraud.",,1,"The use of ArriveCAN is not anticipated to have significant implications for the economic interests of individuals. This is mainly because the platform is not making any administrative or other decisions affecting legal rights, privileges, or interests. The platform's recognition of a traveller's proof of vaccination only assists in the assessment of a traveller's eligibility to enter Canada (given applicable entry requirements at the time of travel). Failure of ArriveCAN to successfully recognize a proof of vaccination would not deprive a traveller from assessment at the border or cause them to incur costs. In this case, a border services officer will manually inspect the proof of vaccination and determine eligibility and post-border requirements accordingly.",,1,"The use of ArriveCAN is not anticipated to have significant environmental implications. As a digital platform, ArriveCAN may help reduce the government's reliance on paper-based processes at the border.",,,,
59,1,"By selecting employers with more potential risk of non-compliance with IRPR, the automation may have a positive impact on the health and safety and security of temporary foreign workers, who work for participating employers. It is hoped that increased focus of inspections on these high-risk employers will lead to greater program compliance.",,1,"The outcome of the system will have no effect on employers using the program. The outcome of the inspection may have a negative financial impact on employers who are misusing the Program, as they may be fined or banned from the program according to the IRPR.",,1,"The automation will not impact the number of inspections initiated by the program, so operational activities such as travel will not be affected.",,1,"All employers may be subject to inspection at any time, and inspections will follow the existing established guidelines and procedures.",
60,1,"En sélectionnant les employeurs présentant un risque plus élevé de non-conformité au RIPR, l’automatisation pourrait avoir un impact positif sur la santé et la sécurité des travailleurs étrangers temporaires qui travaillent pour les employeurs participants. Il est espéré que des inspections portant une attention accrue sur ces employeurs à haut risque mènera à une meilleure conformité au programme.",,1,"Le résultat du système n'aura aucune incidence sur les employeurs qui utilisent le programme. Le résultat de l’inspection peut avoir un impact financier négatif sur les employeurs qui abusent du programme, car ils peuvent être sujet à une amende ou un période d’inadmissibilité au programme conformément au RIPR.",,1,"L’automatisation n’aura aucun impact sur le nombre d’inspections initiées par le programme, donc les activités opérationnelles telles que les déplacements ne seront pas affectées.",,1,"Tous les employeurs peuvent faire l’objet d’une inspection à tout moment, et les inspections suivront les lignes directrices et procédures établies existantes.",
64,1,"Le système devrait avoir peu d’impact négatif, voire aucun, sur la santé et l’autonomie des personnes, puisqu’il servira uniquement à trier les demandes et à regrouper les demandes.",The system is expected to have little to no negative impact on the health and well-being of individuals as it will solely be used to triage and group applications.,1,"Le système devrait avoir peu d’impact négatif, voire aucun, sur les intérêts économiques des personnes puisqu’il servira uniquement à trier et à regrouper les demandes. Le système ne peut ni refuser ni recommander des refus.",The model is expected to have little to no negative impact on the economic interests of individuals as it will solely be used to triage and group applications. The system cannot refuse or recommend a refusal.,1,"Le système ne devrait pas avoir d’impact négatif  sur l’environnement, puisqu’il servira uniquement à trier et à regrouper les demandes.",The system is expected to have no negative impact on the environment as it will solely be used to triage and group applications.,1,"Le système ne devrait pas avoir d’incidence importante sur l’égalité, la dignité, les renseignements personnels et l’autonomie des personnes, puisqu’il servira uniquement à trier les demandes et à faciliter les approbations. 

Pour garantir l’équité et la transparence, les règles du système sont basées uniquement sur des éléments de données ayant un lien clair avec les exigences législatives, réglementaires et contractuelles, et le système ne refuse jamais les demandes, pas plus qu’il ne recommande des refus. Tous les refus continuent d’être effectués par les décideurs, conformément à la pratique actuelle. Toutes les demandes dont la recevabilité ne peut être approuvée automatiquement par le système feront l’objet d’une évaluation complète par les agents, conformément aux pratiques habituelles. Dans le cas des demandes dont l’évaluation positive de la recevabilité est automatisée par le système, ce dernier détermine uniquement que la demande est recevable, avant que la demande soit envoyée à un décideur pour vérifier l’admissibilité et rendre la décision finale.

Des mesures sont également en place pour atténuer le risque potentiel que la fonction de triage puisse influencer la prise de décision des agents. L’analyse avancée (AA) n’a pas été utilisée pour générer les critères du modèle actuel. Les critères sur lesquels repose le modèle sont identiques aux critères actuels et à ceux que les décideurs examinent présentement. Le modèle utilise la technologie pour automatiser quelque chose qui est actuellement fait manuellement. Pour les demandes qui ne font pas l’objet d’une évaluation positive automatisée de la recevabilité, le modèle ne formule aucune recommandation quant à l’approbation ou au refus: chaque demande doit être évaluée individuellement. La conception et le champ d’application du modèle permettent d’atténuer considérablement les préjugés et la discrimination. Par ailleurs, un processus continu d’assurance de la qualité sera mis en œuvre pour vérifier si les agents effectuent les mêmes évaluations positives de recevabilité que le système.

Comme garantie supplémentaire, les règles du système font l’objet d’un processus d’examen approfondi. Avant leur introduction, et à intervalles réguliers par la suite, les règles sont examinées par des agents expérimentés, des experts juridiques, politiques et de la science des données, ainsi que par des cadres supérieurs, afin de s’assurer qu’elles sont logiques, compréhensibles, non discriminatoires et alignées sur les critères de recevabilité établis. Un suivi régulier et des mesures d’assurance de la qualité permettent également de s’assurer que le système fonctionne comme prévu et que tout impact négatif imprévu, tel que les préjugés ou la discrimination, est identifié rapidement et atténué.","The system is expected to have a low impact on the equality, dignity, privacy, and autonomy of individuals, as it will solely be used to sort applications and to facilitate approvals.

To ensure fairness and transparency, the system’s rules are based only on data elements with a clear link to legislative, regulatory and contractual requirements, and the system never refuses applications, nor does it recommend refusals. All refusals continue to be done by decision makers as per the current practice. All applications where eligibility cannot be approved automatically by the system will receive a full assessment by decision makers in accordance with standard practice. For applications where the positive eligibility assessment is automated by the system, the system determines only that an applicant is eligible, before the application is sent to a decision maker to screen for admissibility and render the final decision. 

Measures are also in place to mitigate against the potential risk that the triage function could influence decision-making. Advanced analytics (AA) was not used to generate the current model criteria. The criteria that inform the model are the same that currently exist and that decision makers would currently examine. The model is using technology to automate something that is currently done manually. For applications that were not triaged for an automated positive eligibility assessment, the model makes no recommendation regarding whether these applications should be approved or refused: each application must be assessed individually. Bias/discrimination are significantly mitigated by the design and scope of the model. Additionally, an ongoing quality assurance process will be implemented to monitor whether officers make the same positive eligibility assessments as the system. 

As a further safeguard, system rules go through an extensive review process. Before they are introduced, and at regular intervals afterward, rules are reviewed by experienced officers, legal, policy, and data science experts, as well as senior executives to ensure they are logical, understandable, non-discriminatory and aligned with established eligibility criteria. Regular monitoring and quality assurance measures also help make sure the system performs as intended and that any unforeseen negative impacts such as bias or discrimination can be identified early and mitigated."
68,1,The system is expected to have little to no impact on the health and well-being of individuals as it will solely be used to automate positive determinations on the application.,"On s'attend à ce que le système ait une incidence faible, voire nulle, sur la santé et le bien-être des personnes puisqu'il ne sera utilisé que pour automatiser les décisions favorables liées aux demandes.",1,The system is expected to have little to no impact on the economic interests of individuals as it will solely be used to automate positive determinations on the application.,"On s'attend à ce que le système ait une incidence faible, voire nulle, sur les intérêts économiques des personnes puisqu'il ne sera utilisé que pour automatiser les décisions favorables liées aux demandes.",1,The introduction of decision automation is not expected to result in a larger carbon footprint than existing manual processes and should have little to no incremental impact on the sustainability of environmental ecosystems.,L'introduction de l'automatisation des décisions ne devrait pas entraîner une empreinte carbone plus signifiante que les processus manuels existants et devrait avoir peu ou pas d'impact supplémentaire sur la durabilité des écosystèmes environnementaux.,,,
75,1,"The premise of the PACT Program (and others like it around the world) is to ensure the continued flow of goods around the globe while adding a layer of security to protect the supply chain from unlawful acts of interference. Using data to perform a risk assessment on a shipment sometimes weeks in advance of loading is widely accepted (see the International Civil Aviation Organization and World Customs Organization's Joint Guiding Principles on Pre-Loading Advanced Cargo Information) to be an efficient and effective means to address potential risk in the least obtrusive means available. In the case of life-saving medical supplies, the supply chain is carefully planned out and follows predictable routes involving known players. Such shipments are also clearly labelled and often have specific handling codes that protect passage from one entity to the next.  This allows for a simplified risk assessment, lessens the chance of shipments being delayed in any way, and in fact facilitates the safe movement of life-saving materials. If life-saving materials were to be prevented from being transported on a specific flight, it would be as a result of a threat item being identified, which if unmitigated, would endanger lives.","Le principe du programme CFAPC (et d’autres programmes similaires dans le monde) est d’assurer la circulation continue des marchandises dans le monde entier tout en ajoutant un niveau de sûreté pour protéger la chaîne d’approvisionnement contre les actes d’ingérence illégaux. L’utilisation de données pour effectuer une évaluation des risques sur un chargement, parfois plusieurs semaines avant le chargement, est largement acceptée (voir les principes directeurs communs de l’Organisation de l’aviation civile internationale et de l’Organisation mondiale des douanes sur l’information préalable sur le fret avant le chargement) comme un moyen efficace et efficient de traiter les risques de la manière la moins gênante possible. Dans le cas des fournitures médicales vitales, la chaîne d’approvisionnement est soigneusement planifiée, suit des itinéraires prévisibles et fait intervenir des acteurs connus. Ces envois sont également clairement étiquetés et disposent souvent de codes de manutention particuliers qui protègent le passage d’une entité à l’autre. Cela permet de simplifier l’évaluation des risques, de réduire les risques de retard des envois et, en fait, de faciliter l’acheminement en toute sécurité de fournitures médicales vitales. Si l’on devait empêcher le transport de fournitures médicales vitales sur un vol donné, ce serait à la suite de la détection d’une menace qui, si elle n’est pas atténuée, mettrait des vies en danger.",1,"A shipper whose shipment is re-screened or prevented from being transported on the flight could incur additional costs. When a shipper opts to ship via air cargo, they agree to terms and conditions that apply to its use, including any applicable fees.","Un expéditeur dont l’envoi est soumis à un nouveau contrôle ou qui n’est pas chargé sur le vol pourrait supporter des frais supplémentaires. Lorsqu’un expéditeur choisit d’expédier des marchandises par fret aérien, il accepte les conditions qui s’appliquent à son utilisation, y compris les frais applicables.",1,"The PACT Program, including its system design and related decision-making processes was assessed in accordance with the Cabinet Directive on the Environmental Assessment of Policy, Plan and Program Proposals. The Strategic Environmental Assessment (SEA) process was followed and a Sustainable Transportation Assessment (STA) was completed by Transport Canada's Environmental Management Branch. The assessment found that the PACT Program is not expected to result in important environmental effects, positive or negative.","Le programme de CFAPC, y compris la conception du système et les processus décisionnels connexes, a été évalué conformément à la Directive du Cabinet sur l’évaluation environnementale des projets de politiques, de plans et de programmes. La procédure d’évaluation environnementale stratégique (EES) a été suivie et une évaluation du transport durable (ETD) a été réalisée par la Direction de la gestion de l’environnement de Transports Canada. L’évaluation a montré que le programme de CFAPC ne devrait pas avoir d’effets environnementaux importants, positifs ou négatifs.",1,"A Privacy Impact Assessment is underway and all safeguards are being put in place to ensure that any personal information that is collected is stored and disposed of in keeping with all applicable laws in Canada. As the personal information of shippers collected by the program is limited to the shipper or consignor’s name, address, and the commodity description, there are few if any anticipated effects on the equality or dignity of individuals. Additionally, the use of advanced analytics as part of the risk assessment will significantly reduce the potential for unintentional bias that could otherwise impact individuals’ dignity and equality rights. Finally, the decision that is automated by the PACT algorithmic system will have little to no impact on individuals’ autonomy because the function of the system is limited to the calculation of the risk of a shipment, and not to its delay or denial of loading. Any decision to prevent a shipment from being transported by air that may follow from that calculation of risk (and that could be construed to limit individuals’ autonomy in opting to use this mode of shipping), remains under the purview of human analysts who will take into consideration a multitude of factors each time a shipment is presented. As the risk factors are fluid (e.g. a trade pattern fluctuates over time), each decision is unique.","Une évaluation des facteurs relatifs à la vie privée (EFVP) est en cours et toutes les garanties sont mises en place pour s’assurer que tous les renseignements recueillis sont stockés et éliminés conformément à toutes les lois applicables au Canada. Étant donné que les renseignements personnels des expéditeurs recueillis par le programme se limitent au nom de l’expéditeur ou du consignateur, à son adresse et à la description du produit, les effets prévus sur l’égalité ou la dignité des personnes sont peu nombreux, voire inexistants. En outre, l’utilisation d’analyses avancées dans le cadre de l’évaluation des risques réduira considérablement le risque de partialité involontaire qui pourrait autrement porter atteinte à la dignité des personnes et à leurs droits à l’égalité. Enfin, la décision automatisée par le système algorithmique du CFAPC aura peu ou pas d’effet sur l’autonomie des personnes, car la fonction du système se limite au calcul de la cote de risque d’un envoi, et non au retard ou au refus de chargement. Toute décision d’empêcher un envoi d’être transporté par avion qui pourrait découler de ce calcul de la cote de risque (et qui pourrait être interprétée comme limitant l’autonomie des personnes dans leur choix d’utiliser ce mode de transport), reste du ressort des analystes humains. Ceux-ci prendront en considération une multitude de facteurs chaque fois qu’un envoi sera présenté. Comme les facteurs de risque fluctuent (par exemple, un modèle de transaction   fluctue dans le temps), chaque décision est unique."
83,1,n/a,s/o,1,n/a,s/o,1,n/a,s/o,,,
