Numéro,Question,Réponse sélectionnée
36,Le système peut-il outrepasser des décisions humaines? ,"1: Oui
2: Non"
36.1,Est-ce nécessaire par la législation ou la réglementation? ,"1: Oui
2: Non"
37,Le système peut-il outrepasser d'autres systèmes de décision automatisés?,"1: Oui
2: Non"
38,Avez-vous des processus en place pour enregistrer les instances ou un outrepassage à eu lieu? ,"1: Oui
2: Non"
39,Avez-vous développé des processus de vérification pour tester les résultats non intentionnels? ,"1: Oui
2: Non"
39.1,Décrire les processus de vérification que vous utilisez ou d'un plan sur l'utilisation,Texte libre
40,Le système peut-il fournir une piste d'audit qui enregistre des recommandations ou des décisions? ,"1: Oui
2: Non"
40.1,La piste d'audit indique-t-elle clairement tous les points de décision pris par le système?,"1: Oui
2: Non"
40.2,Avez-vous inclus des processus de contrôle des modifications dans la piste d'audit pour enregistrer les modifications apportées au fonctionnement ou aux performances du système?,"1: Oui
2: Non"
40.3,La piste de vérification montre-t-elle qui est un décideur autorisé? ,"1: Oui
2: Non"
41,Le système peut produire des motifs de ses décisions ou recommandations en cas de besoin?,"1: Oui
2: Non"
42,L'équipe de conception a-t-elle consulté les experts suivants au sein de leur organisation ,
,Communications,"1: Oui
2: Non"
,Gestion des données et des informations,"1: Oui
2: Non"
,Politique ,"1: Oui
2: Non"
,Ressources humaines,"1: Oui
2: Non"
,Informatique / Cybersécurité,"1: Oui
2: Non"
,Légal ,"1: Oui
2: Non"
,Service de livraison ,"1: Oui
2: Non"
,Protection des renseignements personnels,"1: Oui
2: Non"
42.1,Un avis formel a-t-il été émis?,"1: Oui
2: Non"
42.2,Les domaines pertinents de la législation ont-ils été identifiés pendant la phase de cadrage?,"1: Oui
2: Non"
43,Avez-vous développé des indicateurs de performance clés et des benchmarks pour mesurer et améliorer la performance du système?,"1: Oui
2: Non"
44,"Mesurez-vous spécifiquement les impacts (par exemple, sociaux, économiques, environnementaux) qui peuvent résulter du système?","1: Oui
2: Non"
44.1,Expliquez comment vous mesurez ces impacts,Texte libre
45,Avez-vous présenté un cas conceptuel à le Comité d’examen de l’architecture intégrée du gouvernement du Canada? ,"1: Oui
2: Non
3: Sans objet"
46,Avez-vous effectué une évaluation et une autorisation de sécurité? ,"1: Oui
2: Non
3: Sans objet"
46.1,Est-ce que les pleins pouvoirs accordée en vertu de la SA & A? ,"1: Oui
2: Non
3: Sans objet"
47,"Y a-t-il un processus en place pour accorder, surveiller et révoquer l'autorisation d'accès? ","1: Oui
2: Non"
48,Le système utilisé par une autre partie de l'organisation que ceux qui l'ont développé? ,"1: Oui
2: Non"
49,Avez-vous élaboré des programmes de formation ou de la documentation pour vous assurer que le système est utilisé efficacement et correctement?,"1: Oui
2: Non"
49.1,Avez-vous des moyens pour faire en sorte que les besoins de formation sont respectées?,"1: Oui
2: Non"
50,Avez-vous développé un plan de communication externe?,"1: Oui
2: Non"
51,Avez-vous élaboré un plan de communication interne pour aborder les changements potentiels aux pratiques de travail des agents?,"1: Oui
2: Non"
52,Avez-vous un mécanisme pour capturer les commentaires des utilisateurs du système?,"1: Oui
2: Non"
53,Avez-vous un processus de recours prévu ou établi pour les clients qui souhaitent contester la décision?,"1: Oui
2: Non"
